amount,card,Description,datetime,transaction type,date,YM,category,category_n,cumulative_sum
55.14,6450,abdullah al omran,2022-01-01 16:12:00,card transaction,2022-01-01,2022-01,11 other,other,55.14
177.59,6572 [stcpay],jahez international co riyadh sa,2022-01-01 00:00:00,stcpay transaction,2022-01-01,2022-01,01 restaurant,restaurant,232.73000000000002
217.65,0228,aldrees 738,2022-01-01 13:26:00,mada transaction,2022-01-01,2022-01,04 petrol,petrol,450.38
155.26,6572 [stcpay],koinz riyadh sa,2022-01-01 00:00:00,stcpay transaction,2022-01-01,2022-01,11 other,other,605.64
274.34,[SNB account],redacted!,2022-01-02 10:33:00,transfer,2022-01-02,2022-01,9 transfer,transfer,879.98
214.55,6450,najd village restauran,2022-01-02 14:33:00,card transaction,2022-01-02,2022-01,01 restaurant,restaurant,1094.53
47.96,account,redacted!,2022-01-02 13:59:00,transfer,2022-01-02,2022-01,9 transfer,transfer,1142.49
238.37,6450,halalah,2022-01-02 19:39:00,card transaction,2022-01-02,2022-01,11 other,other,1380.86
-15874.400000000001,account,salary,2022-01-02 09:22:00,salary,2022-01-02,2022-01,09 salary,salary,-14493.54
99.32,6450,dar al fatera restaura,2022-01-03 22:40:00,card transaction,2022-01-03,2022-01,01 restaurant,restaurant,-14394.220000000001
251.0,6450,prestige,2022-01-03 20:20:00,card transaction,2022-01-03,2022-01,01 restaurant,restaurant,-14143.220000000001
240.57,6450,hawa lebanon catering,2022-01-03 18:49:00,card transaction,2022-01-03,2022-01,11 other,other,-13902.650000000001
157.91,6450,health wavia limited o,2022-01-03 20:48:00,card transaction,2022-01-03,2022-01,11 other,other,-13744.740000000002
204.97,6450,al-hasawi trading est,2022-01-04 20:14:00,card transaction,2022-01-04,2022-01,11 other,other,-13539.77
161.89,6450,jdyr ltqdym alwjbat es,2022-01-04 20:19:00,card transaction,2022-01-04,2022-01,11 other,other,-13377.880000000001
247.83,6450,لدى  netflix.com,2022-01-05 08:27:00,internet purchase,2022-01-05,2022-01,10 bills,bills,-13130.050000000001
239.18,6572 [stcpay],redacted!,2022-01-06 00:00:00,stcpay credit,2022-01-06,2022-01,06 stcpay,stcpay,-12890.87
192.01,6450,masar althog co,2022-01-06 19:15:00,card transaction,2022-01-06,2022-01,11 other,other,-12698.86
105.78,6572 [stcpay],redacted!,2022-01-06 00:00:00,stcpay credit,2022-01-06,2022-01,06 stcpay,stcpay,-12593.080000000002
285.13,6572 [stcpay],redacted!,2022-01-06 00:00:00,stcpay credit,2022-01-06,2022-01,06 stcpay,stcpay,-12307.95
221.39,6572 [stcpay],redacted!,2022-01-06 00:00:00,stcpay credit,2022-01-06,2022-01,06 stcpay,stcpay,-12086.560000000001
157.41,0228,arabica cafe lt,2022-01-06 08:55:00,mada transaction,2022-01-06,2022-01,02 coffee,coffee,-11929.150000000001
227.99,6450,branch of al grilled a,2022-01-06 17:57:00,card transaction,2022-01-06,2022-01,01 restaurant,restaurant,-11701.160000000002
158.99,6572 [stcpay],redacted!,2022-01-06 00:00:00,stcpay credit,2022-01-06,2022-01,06 stcpay,stcpay,-11542.17
46.9,6450,branch of al grilled a,2022-01-06 17:52:00,card transaction,2022-01-06,2022-01,01 restaurant,restaurant,-11495.27
125.76,6450,luluat elwaqood,2022-01-06 09:18:00,card transaction,2022-01-06,2022-01,11 other,other,-11369.51
261.28,6572 [stcpay],redacted!,2022-01-06 00:00:00,stcpay credit,2022-01-06,2022-01,06 stcpay,stcpay,-11108.230000000001
268.25,6450,petromin express-1228,2022-01-06 09:10:00,card transaction,2022-01-06,2022-01,04 petrol,petrol,-10839.980000000001
179.62,6450,wool world establishme,2022-01-07 18:25:00,card transaction,2022-01-07,2022-01,11 other,other,-10660.36
116.39,6450,al aker sweets est,2022-01-07 18:38:00,card transaction,2022-01-07,2022-01,11 other,other,-10543.970000000001
127.88,0228,warsh mohmmaed,2022-01-08 09:08:00,mada transaction,2022-01-08,2022-01,11 other,other,-10416.09
180.21,0228,green star fuel,2022-01-08 09:25:00,mada transaction,2022-01-08,2022-01,04 petrol,petrol,-10235.880000000001
192.03,6450,perfect coffee,2022-01-09 07:29:00,card transaction,2022-01-09,2022-01,02 coffee,coffee,-10043.85
151.46,0228,station petro g,2022-01-09 07:23:00,mada transaction,2022-01-09,2022-01,04 petrol,petrol,-9892.390000000001
93.84,6450,zawiat alyasamin,2022-01-10 09:27:00,card transaction,2022-01-10,2022-01,03 market,market,-9798.550000000001
36.76,6450,halalah,2022-01-10 19:53:00,card transaction,2022-01-10,2022-01,05 laundry,laundry,-9761.79
278.75,6450,dar al fatera restaura,2022-01-10 21:00:00,card transaction,2022-01-10,2022-01,01 restaurant,restaurant,-9483.04
193.15,6450,zawiat alyasamin,2022-01-11 09:27:00,card transaction,2022-01-11,2022-01,03 market,market,-9289.890000000001
270.78,[SNB account],إلى: علي الناصر مصرف arab national bank,2022-01-12 13:05:00,immediate transfer,2022-01-12,2022-01,08 investment,investment,-9019.11
267.48,6450,zawiat alyasamin,2022-01-12 18:51:00,card transaction,2022-01-12,2022-01,03 market,market,-8751.630000000001
145.23,6450,zawiat alyasamin,2022-01-12 18:52:00,card transaction,2022-01-12,2022-01,03 market,market,-8606.400000000001
188.01,6450,zawiat alyasamin,2022-01-12 09:06:00,card transaction,2022-01-12,2022-01,03 market,market,-8418.390000000001
119.66,0228,petroly co,2022-01-13 20:52:00,mada transaction,2022-01-13,2022-01,04 petrol,petrol,-8298.730000000001
120.34,0228,salem abdulrab,2022-01-13 20:56:00,mada transaction,2022-01-13,2022-01,11 other,other,-8178.390000000001
45.37,6450,wadi al nakhel g,2022-01-14 13:52:00,card transaction,2022-01-14,2022-01,11 other,other,-8133.020000000001
226.76,0228,station petro g,2022-01-16 07:12:00,mada transaction,2022-01-16,2022-01,04 petrol,petrol,-7906.260000000001
213.33,0228,naif saeed   es,2022-01-16 07:16:00,mada transaction,2022-01-16,2022-01,11 other,other,-7692.930000000001
196.1,6450,tamwenat khairat almon,2022-01-16 19:57:00,card transaction,2022-01-16,2022-01,03 market,market,-7496.830000000001
243.81,6572 [stcpay],redacted!,2022-01-17 00:00:00,stcpay credit,2022-01-17,2022-01,06 stcpay,stcpay,-7253.020000000001
199.42,6450,tamwenat khairat almon,2022-01-17 19:53:00,card transaction,2022-01-17,2022-01,03 market,market,-7053.600000000001
54.34,6450,maqlubat aldaar lilakl,2022-01-17 14:09:00,card transaction,2022-01-17,2022-01,11 other,other,-6999.260000000001
269.37,6572 [stcpay],redacted!,2022-01-17 00:00:00,stcpay credit,2022-01-17,2022-01,06 stcpay,stcpay,-6729.890000000001
105.99,0228,the symbol of s,2022-01-18 20:10:00,mada transaction,2022-01-18,2022-01,11 other,other,-6623.900000000001
122.65,6450,najd village restauran,2022-01-18 14:05:00,card transaction,2022-01-18,2022-01,01 restaurant,restaurant,-6501.250000000001
151.74,6572 [stcpay],redacted!,2022-01-18 00:00:00,stcpay credit,2022-01-18,2022-01,06 stcpay,stcpay,-6349.510000000001
40.53,6572 [stcpay],redacted!,2022-01-18 00:00:00,stcpay credit,2022-01-18,2022-01,06 stcpay,stcpay,-6308.9800000000005
204.17,6572 [stcpay],redacted!,2022-01-18 00:00:00,stcpay credit,2022-01-18,2022-01,06 stcpay,stcpay,-6104.810000000001
209.01,6572 [stcpay],redacted!,2022-01-18 00:00:00,stcpay credit,2022-01-18,2022-01,06 stcpay,stcpay,-5895.800000000001
176.77,6450,tones coffee,2022-01-18 19:20:00,card transaction,2022-01-18,2022-01,02 coffee,coffee,-5719.030000000001
66.15,0228,abdullah awad a,2022-01-18 20:05:00,mada transaction,2022-01-18,2022-01,11 other,other,-5652.880000000001
236.8,6572 [stcpay],redacted!,2022-01-18 00:00:00,stcpay credit,2022-01-18,2022-01,06 stcpay,stcpay,-5416.080000000001
122.83,6450,tamwenat khairat almon,2022-01-19 09:07:00,card transaction,2022-01-19,2022-01,03 market,market,-5293.250000000001
99.36,6450,bww sahafa,2022-01-19 20:59:00,card transaction,2022-01-19,2022-01,11 other,other,-5193.890000000001
179.09,0228,arabica cafe lt,2022-01-20 08:50:00,mada transaction,2022-01-20,2022-01,02 coffee,coffee,-5014.800000000001
199.86,0228,halalah,2022-01-20 08:31:00,mada transaction,2022-01-20,2022-01,05 laundry,laundry,-4814.9400000000005
47.14,0228,the sheep resta,2022-01-21 20:13:00,mada transaction,2022-01-21,2022-01,01 restaurant,restaurant,-4767.800000000001
175.46,0228,bthor albon co,2022-01-21 18:09:00,mada transaction,2022-01-21,2022-01,11 other,other,-4592.340000000001
109.43,6450,the sheep restaurant,2022-01-21 20:13:00,card transaction,2022-01-21,2022-01,01 restaurant,restaurant,-4482.910000000001
293.1,6450,fatoomah est,2022-01-21 09:18:00,card transaction,2022-01-21,2022-01,11 other,other,-4189.810000000001
201.23,0228,morning and eve,2022-01-21 09:56:00,mada transaction,2022-01-21,2022-01,11 other,other,-3988.580000000001
223.56,6450,tamwenat khairat almon,2022-01-22 13:18:00,card transaction,2022-01-22,2022-01,03 market,market,-3765.020000000001
185.38,6450,shahrukhan,2022-01-22 21:47:00,card transaction,2022-01-22,2022-01,01 restaurant,restaurant,-3579.640000000001
288.61,0228,mohatat ateaf,2022-01-22 14:21:00,mada transaction,2022-01-22,2022-01,11 other,other,-3291.0300000000007
206.21,6450,tamwenat khairat almon,2022-01-22 10:15:00,card transaction,2022-01-22,2022-01,03 market,market,-3084.820000000001
176.86,6450,nour al hana restauran,2022-01-23 15:11:00,card transaction,2022-01-23,2022-01,01 restaurant,restaurant,-2907.960000000001
288.29,6450,chefs,2022-01-24 20:43:00,card transaction,2022-01-24,2022-01,11 other,other,-2619.670000000001
128.37,6450,montreux,2022-01-24 21:20:00,card transaction,2022-01-24,2022-01,11 other,other,-2491.300000000001
138.78,6450,لدى  mobily,2022-01-25 16:52:00,internet purchase,2022-01-25,2022-01,11 other,other,-2352.520000000001
232.59,6450,halalah,2022-01-25 20:29:00,card transaction,2022-01-25,2022-01,05 laundry,laundry,-2119.9300000000007
149.89,6450,sushi art-exit 5,2022-01-25 18:54:00,card transaction,2022-01-25,2022-01,01 restaurant,restaurant,-1970.0400000000009
85.92,6572 [stcpay],redacted!,2022-01-25 00:00:00,stcpay credit,2022-01-25,2022-01,06 stcpay,stcpay,-1884.1200000000008
287.76,6450,tamwenat khairat almon,2022-01-25 20:31:00,card transaction,2022-01-25,2022-01,03 market,market,-1596.3600000000008
71.69,0228,fawal othman,2022-01-25 09:31:00,mada transaction,2022-01-25,2022-01,01 restaurant,restaurant,-1524.670000000001
180.84,6450,لدى  sun and sand sports co,2022-01-25 09:34:00,internet purchase,2022-01-25,2022-01,11 other,other,-1343.8300000000008
46.35,6572 [stcpay],redacted!,2022-01-25 00:00:00,stcpay credit,2022-01-25,2022-01,06 stcpay,stcpay,-1297.480000000001
76.14,6450,spread,2022-01-26 20:36:00,card transaction,2022-01-26,2022-01,01 restaurant,restaurant,-1221.3400000000008
189.39,6450,kyan,2022-01-27 18:29:00,card transaction,2022-01-27,2022-01,11 other,other,-1031.950000000001
259.71,6450,well gas station,2022-01-27 18:48:00,card transaction,2022-01-27,2022-01,04 petrol,petrol,-772.2400000000009
104.39,6450,al haram for car acces,2022-01-29 11:40:00,card transaction,2022-01-29,2022-01,11 other,other,-667.8500000000009
174.71,0228,kanooz alwatan,2022-01-30 20:02:00,mada transaction,2022-01-30,2022-01,11 other,other,-493.1400000000009
20.07,0228,afran food inds,2022-01-30 19:55:00,mada transaction,2022-01-30,2022-01,01 restaurant,restaurant,-473.0700000000009
199.98,0228,salon qamar ala,2022-01-30 21:59:00,mada transaction,2022-01-30,2022-01,11 other,other,-273.09000000000094
139.03,0228,hamdan ahmed sa,2022-01-30 20:13:00,mada transaction,2022-01-30,2022-01,11 other,other,-134.0600000000009
253.87,0228,naft services c,2022-01-30 19:35:00,mada transaction,2022-01-30,2022-01,04 petrol,petrol,119.80999999999909
237.84,0228,stc pay,2022-01-31 20:02:00,mada transaction,2022-01-31,2022-01,06 stcpay,stcpay,357.64999999999907
220.81,0228,aldrees 241,2022-01-31 07:25:00,mada transaction,2022-01-31,2022-01,04 petrol,petrol,578.4599999999991
